name,year,attendee_count
Animal Kingdom,2017,12500000
Animal Kingdom,2016,10844000
Animal Kingdom,2015,10922000
Animal Kingdom,2014,10402000
Animal Kingdom,2013,10198000
Animal Kingdom,2012,9998000
Animal Kingdom,2011,9783000
Animal Kingdom,2010,9686000
Animal Kingdom,2009,9590000
Animal Kingdom,2008,9540000
Animal Kingdom,2007,9490000
Animal Kingdom,2006,8910000
Parc Astérix,2023,2815000
Parc Astérix,2022,2632000
Parc Astérix,2021,1300000
Parc Astérix,2020,1163000
Parc Astérix,2019,2326000
Parc Astérix,2018,2174000
Parc Astérix,2017,2000000
Parc Astérix,2016,1850000
Parc Astérix,2015,1850000
Parc Astérix,2014,1800000
Parc Astérix,2013,1620000
Parc Astérix,2012,1723000
Parc Astérix,2011,1595000
Parc Astérix,2010,1663000
Parc Astérix,2009,1820000
Parc Astérix,2008,1800000
Parc Astérix,2007,1620000
Parc Astérix,2006,1800000
Liseberg,2023,2300000
Liseberg,2022,2500000
Liseberg,2021,1447000
Liseberg,2020,0
Liseberg,2019,2950000
Liseberg,2018,3055000
Liseberg,2017,3061000
Liseberg,2016,3070000
Liseberg,2015,3052000
Liseberg,2014,3100000
Liseberg,2013,2860000
Liseberg,2012,2800000
Liseberg,2011,2900000
Liseberg,2010,2900000
Liseberg,2009,3150000
Liseberg,2008,3050000
Liseberg,2007,3050000
Liseberg,2006,2950000
Gardaland,2023,3070000
Gardaland,2022,2950000
Gardaland,2021,2200000
Gardaland,2020,1350000
Gardaland,2019,2920000
Gardaland,2018,2900000
Gardaland,2017,2600000
Gardaland,2016,2880000
Gardaland,2015,2850000
Gardaland,2014,2750000
Gardaland,2013,2700000
Gardaland,2012,2700000
Gardaland,2011,3000000
Gardaland,2010,2800000
Gardaland,2009,2900000
Gardaland,2008,3100000
Gardaland,2007,3100000
Gardaland,2006,3100000
Hersheypark,2023,3321000
Hersheypark,2022,3223000
Hersheypark,2021,3012000
Hersheypark,2020,1717000
Hersheypark,2019,3384000
Hersheypark,2018,3367000
Hersheypark,2017,3301000
Hersheypark,2016,3276000
Hersheypark,2015,3276000
Hersheypark,2014,3212000
Hersheypark,2013,3180000
Hersheypark,2012,3140000
Hersheypark,2011,2949000
Hersheypark,2010,2891000
Hersheypark,2009,2807000
Hersheypark,2008,2842000
Hersheypark,2007,2940000
Hersheypark,2006,2690000
Disneyland,2023,17250000
Disneyland,2022,16881000
Disneyland,2021,8573000
Disneyland,2020,3674000
Disneyland,2019,18666000
Disneyland,2018,18666000
Disneyland,2017,18300000
Disneyland,2016,17943000
Disneyland,2015,18278000
Disneyland,2014,16769000
Disneyland,2013,16202000
Disneyland,2012,15963000
Disneyland,2011,16140000
Disneyland,2010,15980000
Disneyland,2009,15900000
Disneyland,2008,14721000
Disneyland,2007,14870000
Disneyland,2006,14730000
Disney California Adventure,2023,10000000
Disney California Adventure,2022,9000000
Disney California Adventure,2021,4977000
Disney California Adventure,2020,1919000
Disney California Adventure,2019,9861000
Disney California Adventure,2018,9861000
Disney California Adventure,2017,9574000
Disney California Adventure,2016,9295000
Disney California Adventure,2015,9383000
Disney California Adventure,2014,8769000
Disney California Adventure,2013,8514000
Disney California Adventure,2012,7775000
Disney California Adventure,2011,6341000
Disney California Adventure,2010,6278000
Disney California Adventure,2009,6050000
Disney California Adventure,2008,5566000
Disney California Adventure,2007,5680000
Disney California Adventure,2006,5950000
PortAventura Park,2023,3975000
PortAventura Park,2022,3750000
PortAventura Park,2021,2400000
PortAventura Park,2020,700000
PortAventura Park,2019,3750000
PortAventura Park,2018,3650000
PortAventura Park,2017,3650000
PortAventura Park,2016,3600000
PortAventura Park,2015,3600000
PortAventura Park,2014,3500000
PortAventura Park,2013,3400000
PortAventura Park,2012,3540000
PortAventura Park,2011,3522000
PortAventura Park,2010,3050000
PortAventura Park,2009,3000000
PortAventura Park,2008,3300000
PortAventura Park,2007,3700000
