name,year,month,avg_crowd_level
Thorpe Park,2021,Mar,NA
Thorpe Park,2021,Apr,57
Thorpe Park,2021,May,58
Thorpe Park,2021,Jun,79
Thorpe Park,2021,Jul,62
Thorpe Park,2021,Aug,76
Thorpe Park,2021,Sep,32
Thorpe Park,2021,Oct,48
Thorpe Park,2021,Nov,NA
Thorpe Park,2021,Dec,NA
Thorpe Park,2020,Jan,NA
Thorpe Park,2020,Feb,NA
Thorpe Park,2020,Mar,NA
Thorpe Park,2020,Apr,NA
Thorpe Park,2020,May,NA
Thorpe Park,2020,Jun,NA
Thorpe Park,2020,Jul,78
Thorpe Park,2020,Aug,94
Thorpe Park,2020,Sep,64
Thorpe Park,2020,Oct,44
Thorpe Park,2020,Nov,62
Thorpe Park,2020,Dec,NA
Thorpe Park,2019,Jan,NA
Thorpe Park,2019,Feb,NA
Thorpe Park,2019,Mar,48
Thorpe Park,2019,Apr,35
Thorpe Park,2019,May,27
Thorpe Park,2019,Jun,39
Thorpe Park,2019,Jul,57
Thorpe Park,2019,Aug,60
Thorpe Park,2019,Sep,36
Thorpe Park,2019,Oct,37
Thorpe Park,2019,Nov,65
Thorpe Park,2019,Dec,NA
Thorpe Park,2018,Jan,NA
Thorpe Park,2018,Feb,NA
Thorpe Park,2018,Mar,27
Thorpe Park,2018,Apr,42
Thorpe Park,2018,May,46
Thorpe Park,2018,Jun,57
Thorpe Park,2018,Jul,70
Thorpe Park,2018,Aug,69
Thorpe Park,2018,Sep,53
Thorpe Park,2018,Oct,54
Thorpe Park,2018,Nov,NA
Thorpe Park,2018,Dec,NA
Thorpe Park,2017,Jan,NA
Thorpe Park,2017,Feb,NA
Thorpe Park,2017,Mar,23
Thorpe Park,2017,Apr,51
Thorpe Park,2017,May,20
Thorpe Park,2017,Jun,41
Thorpe Park,2017,Jul,69
Thorpe Park,2017,Aug,67
Thorpe Park,2017,Sep,38
Thorpe Park,2017,Oct,59
Thorpe Park,2017,Nov,19
Thorpe Park,2017,Dec,NA
Thorpe Park,2016,Jan,NA
Thorpe Park,2016,Feb,NA
Thorpe Park,2016,Mar,NA
Thorpe Park,2016,Apr,16
Thorpe Park,2016,May,29
Thorpe Park,2016,Jun,49
Thorpe Park,2016,Jul,71
Thorpe Park,2016,Aug,79
Thorpe Park,2016,Sep,28
Thorpe Park,2016,Oct,51
Thorpe Park,2016,Nov,7
Thorpe Park,2016,Dec,NA
Thorpe Park,2015,Jan,NA
Thorpe Park,2015,Feb,17
Thorpe Park,2015,Mar,19
Thorpe Park,2015,Apr,41
Thorpe Park,2015,May,30
Thorpe Park,2015,Jun,35
Thorpe Park,2015,Jul,47
Thorpe Park,2015,Aug,49
Thorpe Park,2015,Sep,23
Thorpe Park,2015,Oct,33
Thorpe Park,2015,Nov,13
Thorpe Park,2015,Dec,NA
Thorpe Park,2014,Jan,NA
Thorpe Park,2014,Feb,NA
Thorpe Park,2014,Mar,NA
Thorpe Park,2014,Apr,NA
Thorpe Park,2014,May,NA
Thorpe Park,2014,Jun,NA
Thorpe Park,2014,Jul,NA
Thorpe Park,2014,Aug,NA
Thorpe Park,2014,Sep,29
Thorpe Park,2014,Oct,34
Thorpe Park,2014,Nov,26
Thorpe Park,2014,Dec,NA
Chessington World of Adventures,2025,Jan,NA
Chessington World of Adventures,2025,Feb,5
Chessington World of Adventures,2025,Mar,0
Chessington World of Adventures,2025,Apr,NA
Chessington World of Adventures,2025,May,NA
Chessington World of Adventures,2025,Jun,NA
Chessington World of Adventures,2025,Jul,NA
Chessington World of Adventures,2025,Aug,NA
Chessington World of Adventures,2025,Sep,NA
Chessington World of Adventures,2025,Oct,NA
Chessington World of Adventures,2025,Nov,NA
Chessington World of Adventures,2025,Dec,NA
Chessington World of Adventures,2024,Jan,53
Chessington World of Adventures,2024,Feb,56
Chessington World of Adventures,2024,Mar,54
Chessington World of Adventures,2024,Apr,41
Chessington World of Adventures,2024,May,35
Chessington World of Adventures,2024,Jun,42
Chessington World of Adventures,2024,Jul,48
Chessington World of Adventures,2024,Aug,74
Chessington World of Adventures,2024,Sep,29
Chessington World of Adventures,2024,Oct,36
Chessington World of Adventures,2024,Nov,42
Chessington World of Adventures,2024,Dec,26
Chessington World of Adventures,2023,Jan,20
Chessington World of Adventures,2023,Feb,NA
Chessington World of Adventures,2023,Mar,38
Chessington World of Adventures,2023,Apr,50
Chessington World of Adventures,2023,May,42
Chessington World of Adventures,2023,Jun,52
Chessington World of Adventures,2023,Jul,61
Chessington World of Adventures,2023,Aug,81
Chessington World of Adventures,2023,Sep,29
Chessington World of Adventures,2023,Oct,38
Chessington World of Adventures,2023,Nov,19
Chessington World of Adventures,2023,Dec,25
Chessington World of Adventures,2022,Jan,35
Chessington World of Adventures,2022,Feb,55
Chessington World of Adventures,2022,Mar,52
Chessington World of Adventures,2022,Apr,62
Chessington World of Adventures,2022,May,47
Chessington World of Adventures,2022,Jun,52
Chessington World of Adventures,2022,Jul,63
Chessington World of Adventures,2022,Aug,76
Chessington World of Adventures,2022,Sep,46
Chessington World of Adventures,2022,Oct,44
Chessington World of Adventures,2022,Nov,60
Chessington World of Adventures,2022,Dec,30
Chessington World of Adventures,2021,Jan,NA
Chessington World of Adventures,2021,Feb,NA
Chessington World of Adventures,2021,Mar,NA
Chessington World of Adventures,2021,Apr,55
Chessington World of Adventures,2021,May,48
Chessington World of Adventures,2021,Jun,77
Chessington World of Adventures,2021,Jul,72
Chessington World of Adventures,2021,Aug,91
Chessington World of Adventures,2021,Sep,42
Chessington World of Adventures,2021,Oct,46
Chessington World of Adventures,2021,Nov,60
Chessington World of Adventures,2021,Dec,21
Chessington World of Adventures,2020,Jan,51
Chessington World of Adventures,2020,Feb,46
Chessington World of Adventures,2020,Mar,26
Chessington World of Adventures,2020,Apr,NA
Chessington World of Adventures,2020,May,NA
Chessington World of Adventures,2020,Jun,NA
Chessington World of Adventures,2020,Jul,85
Chessington World of Adventures,2020,Aug,96
Chessington World of Adventures,2020,Sep,57
Chessington World of Adventures,2020,Oct,52
Chessington World of Adventures,2020,Nov,92
Chessington World of Adventures,2020,Dec,45
Chessington World of Adventures,2019,Jan,48
Chessington World of Adventures,2019,Feb,NA
Chessington World of Adventures,2019,Mar,53
Chessington World of Adventures,2019,Apr,61
Chessington World of Adventures,2019,May,64
Chessington World of Adventures,2019,Jun,49
Chessington World of Adventures,2019,Jul,57
Chessington World of Adventures,2019,Aug,80
Chessington World of Adventures,2019,Sep,41
Chessington World of Adventures,2019,Oct,37
Chessington World of Adventures,2019,Nov,28
Chessington World of Adventures,2019,Dec,31
Chessington World of Adventures,2018,Jan,NA
Chessington World of Adventures,2018,Feb,NA
Chessington World of Adventures,2018,Mar,35
Chessington World of Adventures,2018,Apr,65
Chessington World of Adventures,2018,May,60
Chessington World of Adventures,2018,Jun,47
Chessington World of Adventures,2018,Jul,55
Chessington World of Adventures,2018,Aug,78
Chessington World of Adventures,2018,Sep,43
Chessington World of Adventures,2018,Oct,42
Chessington World of Adventures,2018,Nov,26
Chessington World of Adventures,2018,Dec,17
Chessington World of Adventures,2017,Jan,NA
Chessington World of Adventures,2017,Feb,NA
Chessington World of Adventures,2017,Mar,36
Chessington World of Adventures,2017,Apr,75
Chessington World of Adventures,2017,May,43
Chessington World of Adventures,2017,Jun,38
Chessington World of Adventures,2017,Jul,59
Chessington World of Adventures,2017,Aug,80
Chessington World of Adventures,2017,Sep,41
Chessington World of Adventures,2017,Oct,48
Chessington World of Adventures,2017,Nov,NA
Chessington World of Adventures,2017,Dec,26
Chessington World of Adventures,2016,Jan,41
Chessington World of Adventures,2016,Feb,NA
Chessington World of Adventures,2016,Mar,46
Chessington World of Adventures,2016,Apr,54
Chessington World of Adventures,2016,May,44
Chessington World of Adventures,2016,Jun,46
Chessington World of Adventures,2016,Jul,66
Chessington World of Adventures,2016,Aug,83
Chessington World of Adventures,2016,Sep,48
Chessington World of Adventures,2016,Oct,47
Chessington World of Adventures,2016,Nov,NA
Chessington World of Adventures,2016,Dec,NA
Chessington World of Adventures,2015,Jan,NA
Chessington World of Adventures,2015,Feb,55
Chessington World of Adventures,2015,Mar,28
Chessington World of Adventures,2015,Apr,45
Chessington World of Adventures,2015,May,42
Chessington World of Adventures,2015,Jun,32
Chessington World of Adventures,2015,Jul,41
Chessington World of Adventures,2015,Aug,64
Chessington World of Adventures,2015,Sep,39
Chessington World of Adventures,2015,Oct,42
Chessington World of Adventures,2015,Nov,50
Chessington World of Adventures,2015,Dec,42
Chessington World of Adventures,2014,Jan,NA
Chessington World of Adventures,2014,Feb,NA
Chessington World of Adventures,2014,Mar,NA
Chessington World of Adventures,2014,Apr,NA
Chessington World of Adventures,2014,May,NA
Chessington World of Adventures,2014,Jun,NA
Chessington World of Adventures,2014,Jul,NA
Chessington World of Adventures,2014,Aug,NA
Chessington World of Adventures,2014,Sep,21
Chessington World of Adventures,2014,Oct,28
Chessington World of Adventures,2014,Nov,41
Chessington World of Adventures,2014,Dec,NA
Disneyland Park Paris,2025,Jan,59
Disneyland Park Paris,2025,Feb,71
Disneyland Park Paris,2025,Mar,67
Disneyland Park Paris,2025,Apr,NA
Disneyland Park Paris,2025,May,NA
Disneyland Park Paris,2025,Jun,NA
Disneyland Park Paris,2025,Jul,NA
Disneyland Park Paris,2025,Aug,NA
Disneyland Park Paris,2025,Sep,NA
Disneyland Park Paris,2025,Oct,NA
Disneyland Park Paris,2025,Nov,NA
Disneyland Park Paris,2025,Dec,NA
Disneyland Park Paris,2024,Jan,38
Disneyland Park Paris,2024,Feb,42
Disneyland Park Paris,2024,Mar,64
Disneyland Park Paris,2024,Apr,43
Disneyland Park Paris,2024,May,67
Disneyland Park Paris,2024,Jun,54
Disneyland Park Paris,2024,Jul,38
Disneyland Park Paris,2024,Aug,70
Disneyland Park Paris,2024,Sep,55
Disneyland Park Paris,2024,Oct,57
Disneyland Park Paris,2024,Nov,58
Disneyland Park Paris,2024,Dec,57
Disneyland Park Paris,2023,Jan,42
Disneyland Park Paris,2023,Feb,45
Disneyland Park Paris,2023,Mar,60
Disneyland Park Paris,2023,Apr,62
Disneyland Park Paris,2023,May,62
Disneyland Park Paris,2023,Jun,66
Disneyland Park Paris,2023,Jul,57
Disneyland Park Paris,2023,Aug,56
Disneyland Park Paris,2023,Sep,63
Disneyland Park Paris,2023,Oct,47
Disneyland Park Paris,2023,Nov,29
Disneyland Park Paris,2023,Dec,49
Disneyland Park Paris,2022,Jan,33
Disneyland Park Paris,2022,Feb,49
Disneyland Park Paris,2022,Mar,62
Disneyland Park Paris,2022,Apr,77
Disneyland Park Paris,2022,May,86
Disneyland Park Paris,2022,Jun,82
Disneyland Park Paris,2022,Jul,66
Disneyland Park Paris,2022,Aug,74
Disneyland Park Paris,2022,Sep,71
Disneyland Park Paris,2022,Oct,84
Disneyland Park Paris,2022,Nov,54
Disneyland Park Paris,2022,Dec,62
Disneyland Park Paris,2021,Jan,NA
Disneyland Park Paris,2021,Feb,NA
Disneyland Park Paris,2021,Mar,NA
Disneyland Park Paris,2021,Apr,NA
Disneyland Park Paris,2021,May,NA
Disneyland Park Paris,2021,Jun,21
Disneyland Park Paris,2021,Jul,37
Disneyland Park Paris,2021,Aug,59
Disneyland Park Paris,2021,Sep,24
Disneyland Park Paris,2021,Oct,49
Disneyland Park Paris,2021,Nov,47
Disneyland Park Paris,2021,Dec,69
Disneyland Park Paris,2020,Jan,48
Disneyland Park Paris,2020,Feb,72
Disneyland Park Paris,2020,Mar,42
Disneyland Park Paris,2020,Apr,NA
Disneyland Park Paris,2020,May,NA
Disneyland Park Paris,2020,Jun,NA
Disneyland Park Paris,2020,Jul,20
Disneyland Park Paris,2020,Aug,49
Disneyland Park Paris,2020,Sep,17
Disneyland Park Paris,2020,Oct,27
Disneyland Park Paris,2020,Nov,NA
Disneyland Park Paris,2020,Dec,NA
Disneyland Park Paris,2019,Jan,38
Disneyland Park Paris,2019,Feb,64
Disneyland Park Paris,2019,Mar,75
Disneyland Park Paris,2019,Apr,82
Disneyland Park Paris,2019,May,49
Disneyland Park Paris,2019,Jun,65
Disneyland Park Paris,2019,Jul,68
Disneyland Park Paris,2019,Aug,86
Disneyland Park Paris,2019,Sep,60
Disneyland Park Paris,2019,Oct,73
Disneyland Park Paris,2019,Nov,51
Disneyland Park Paris,2019,Dec,60
Disneyland Park Paris,2018,Jan,34
Disneyland Park Paris,2018,Feb,52
Disneyland Park Paris,2018,Mar,66
Disneyland Park Paris,2018,Apr,68
Disneyland Park Paris,2018,May,64
Disneyland Park Paris,2018,Jun,62
Disneyland Park Paris,2018,Jul,63
Disneyland Park Paris,2018,Aug,80
Disneyland Park Paris,2018,Sep,47
Disneyland Park Paris,2018,Oct,65
Disneyland Park Paris,2018,Nov,47
Disneyland Park Paris,2018,Dec,72
Disneyland Park Paris,2017,Jan,27
Disneyland Park Paris,2017,Feb,45
Disneyland Park Paris,2017,Mar,38
Disneyland Park Paris,2017,Apr,71
Disneyland Park Paris,2017,May,48
Disneyland Park Paris,2017,Jun,62
Disneyland Park Paris,2017,Jul,65
Disneyland Park Paris,2017,Aug,79
Disneyland Park Paris,2017,Sep,39
Disneyland Park Paris,2017,Oct,49
Disneyland Park Paris,2017,Nov,33
Disneyland Park Paris,2017,Dec,54
Disneyland Park Paris,2016,Jan,NA
Disneyland Park Paris,2016,Feb,39
Disneyland Park Paris,2016,Mar,28
Disneyland Park Paris,2016,Apr,40
Disneyland Park Paris,2016,May,36
Disneyland Park Paris,2016,Jun,28
Disneyland Park Paris,2016,Jul,30
Disneyland Park Paris,2016,Aug,30
Disneyland Park Paris,2016,Sep,17
Disneyland Park Paris,2016,Oct,35
Disneyland Park Paris,2016,Nov,23
Disneyland Park Paris,2016,Dec,50
Disneyland Park Paris,2015,Jan,18
Disneyland Park Paris,2015,Feb,41
Disneyland Park Paris,2015,Mar,35
Disneyland Park Paris,2015,Apr,39
Disneyland Park Paris,2015,May,35
Disneyland Park Paris,2015,Jun,29
Disneyland Park Paris,2015,Jul,40
Disneyland Park Paris,2015,Aug,65
Disneyland Park Paris,2015,Sep,24
Disneyland Park Paris,2015,Oct,40
Disneyland Park Paris,2015,Nov,34
Disneyland Park Paris,2015,Dec,NA
Disneyland Park Paris,2014,Jan,NA
Disneyland Park Paris,2014,Feb,NA
Disneyland Park Paris,2014,Mar,NA
Disneyland Park Paris,2014,Apr,NA
Disneyland Park Paris,2014,May,NA
Disneyland Park Paris,2014,Jun,NA
Disneyland Park Paris,2014,Jul,NA
Disneyland Park Paris,2014,Aug,NA
Disneyland Park Paris,2014,Sep,16
Disneyland Park Paris,2014,Oct,34
Disneyland Park Paris,2014,Nov,29
Disneyland Park Paris,2014,Dec,44
Epcot,2025,Jan,62
Epcot,2025,Feb,62
Epcot,2025,Mar,61
Epcot,2025,Apr,NA
Epcot,2025,May,NA
Epcot,2025,Jun,NA
Epcot,2025,Jul,NA
Epcot,2025,Aug,NA
Epcot,2025,Sep,NA
Epcot,2025,Oct,NA
Epcot,2025,Nov,NA
Epcot,2025,Dec,NA
Epcot,2024,Jan,60
Epcot,2024,Feb,68
Epcot,2024,Mar,62
Epcot,2024,Apr,55
Epcot,2024,May,60
